ID	Pts	 -	Pref	-1R	-2R	  Cur	G-1	

 3	1.0	 B	 (W)	   	   	 (6W)	  8	
 4	1.0	 W	 (B)	   	   	 (7B)	  9	
 6	1.0	 W	 (B)	   	   	 (3B)	  1	
 7	1.0	 B	 (W)	   	   	 (4W)	  2	
10	1.0	 W	 (B)	   	   	 (1B)	  5	

 1	0.0	 B	 (W)	   	   	(10W)	  6	
 2	0.0	 W	 (B)	   	   	 (9B)	  7	
 5	0.0	 B	 (W)	   	   	 (8W)	 10	
 8	0.0	 W	 (B)	   	   	 (5B)	  3	
 9	0.0	 B	 (W)	   	   	 (2W)	  4	


JaVaFo (rrweb.org/javafo) - Rel. 2.2 (Build 3222)
